Run,Barcode,Pot,Sample,Description
1,1,213,S,"Sand, Soil+Culture, No plant"
1,2,210,R,"Nodules, Culture mix, Plant"
1,3,217,S,"Sand, Soil+Culture, Plant"
1,4,207,R,"Nodules, Sterile, Plant"
1,5,216,S,"Sand, Sterile, No plant"
1,6,207,C,"Root-only control, Sterile, Plant"
1,7,212,S,"Sand, Culture mix, No plant"
1,8,217,R,"Nodules, Soil+Culture, Plant"
1,9,205,S,"Sand, Culture mix, No plant"
1,10,210,S,"Sand, Culture mix, Plant"
1,11,207,S,"Sand, Sterile, Plant"
1,12,211,S,"Sand, Soil slurry, No plant"
2,1,227,S,"Sand, Soil slurry, Plant"
2,2,233,S,"Sand, Soil+Culture, No plant"
2,3,234,S,"Sand, Sterile, No plant"
2,4,222,S,"Sand, Culture mix, Plant"
2,5,224,S,"Sand, Soil+Culture, Plant"
2,6,228,S,"Sand, Soil+Culture, Plant"
2,7,232,S,"Sand, Soil+Culture, Plant"
2,8,228,R,"Nodules, Soil+Culture, Plant"
2,9,223,S,"Sand, Soil slurry, No plant"
2,10,224,R,"Nodules, Soil+Culture, Plant"
2,11,231,S,"Sand, Sterile, Plant"
2,12,236,S,"Sand, Soil+Culture, Plant"